employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-60929647,Arunima,Setty,Male,Maharashtra,Pune,2017-09-04,IT,Software Developer,Bachelor,509721,Satisfactory,No,2001-06-03,2024-06-16
00-84752529,Janya,Gaba,Female,Maharashtra,Nagpur,2017-05-24,Customer Service,Support Specialist,High School,370408,Satisfactory,Yes,1980-03-28,2022-08-06
00-17507864,Isha,Kadakia,Male,Karnataka,Mangalore,2017-09-18,Customer Service,Help Desk Technician,Bachelor,339312,Excellent,Yes,1997-05-30,2018-03-17
00-52339391,Amara,Bora,Male,Kerala,Kozhikode,2019-08-25,Operations,Operations Analyst,Master,313125,Good,No,1995-06-28,2020-02-21
00-86125617,Onveer,Walla,Male,Uttar Pradesh,Lucknow,2023-10-11,Sales,Sales Specialist,Bachelor,565133,Excellent,No,1975-10-01,2024-04-08
00-97971488,Yash,Gade,Male,Karnataka,Bengaluru,2020-06-28,Operations,Inventory Specialist,Bachelor,393389,Good,No,2000-10-31,2021-10-27
00-29175900,Ladli,Madan,Male,Delhi,New Delhi,2017-12-26,Sales,Sales Specialist,Bachelor,580816,Needs Improvement,No,1979-12-15,2018-06-24
00-85345555,Theodore,Nair,Male,Tamil Nadu,Coimbatore,2020-11-23,Operations,Logistics Coordinator,Bachelor,346194,Good,No,1981-11-08,2021-05-22
00-67503414,Daksh,Karnik,Male,Kerala,Kozhikode,2023-11-16,Operations,Operations Manager,Bachelor,640983,Good,Yes,1975-12-18,2024-05-14
00-39436733,Azad,Mutti,Female,Punjab,Amritsar,2024-06-04,Sales,Sales Representative,Bachelor,404964,Good,Yes,1984-10-14,2024-12-01
00-76238574,Amrita,Bhatti,Male,Uttar Pradesh,Lucknow,2016-03-22,Customer Service,Support Specialist,Bachelor,342826,Good,No,1999-05-02,2021-05-10
00-24716857,Divya,Kala,Female,Karnataka,Mysuru,2017-09-12,Customer Service,Customer Service Representative,Bachelor,276822,Satisfactory,No,1976-08-16,2021-11-16
00-66661351,Xalak,Randhawa,Female,Tamil Nadu,Madurai,2020-12-09,Sales,Sales Specialist,Bachelor,473448,Excellent,No,1990-12-21,2022-11-17
00-89978790,Tara,Dhar,Male,Maharashtra,Nagpur,2024-04-12,Operations,Logistics Coordinator,Bachelor,414224,Satisfactory,No,1989-11-08,2024-10-09
00-84252722,Liam,Koshy,Female,Punjab,Jalandhar,2023-10-17,Customer Service,Support Specialist,Bachelor,289468,Excellent,Yes,1987-03-05,2024-04-14
00-25374874,Adya,Sangha,Female,West Bengal,Kolkata,2022-12-15,Finance,Financial Analyst,PhD,457948,Good,No,1990-07-31,2023-06-13
00-45812670,Mohini,Pathak,Male,West Bengal,Kolkata,2022-03-27,Operations,Logistics Coordinator,Bachelor,428151,Excellent,No,1968-05-06,2024-02-14
00-49392920,Lakshit,Upadhyay,Male,Tamil Nadu,Madurai,2019-07-11,Sales,Sales Specialist,Master,316295,Good,Yes,1981-09-07,2021-04-29
00-45351479,Gavin,Batta,Male,Delhi,Rohini,2024-11-30,Operations,Logistics Coordinator,Bachelor,318691,Good,No,1987-10-29,2025-05-29
00-24282218,Imaran,Dua,Male,Maharashtra,Nagpur,2023-09-01,Operations,Inventory Specialist,High School,361941,Satisfactory,No,1976-04-29,2024-02-28
00-95758349,Nathaniel,Sami,Male,Tamil Nadu,Coimbatore,2020-08-19,Operations,Operations Manager,Bachelor,667129,Good,No,1965-09-06,2021-12-11
00-60185867,Devansh,Rajan,Male,West Bengal,Kolkata,2022-05-29,Operations,Inventory Specialist,High School,333398,Satisfactory,Yes,2004-01-05,2022-11-25
00-81182864,Upadhriti,Wadhwa,Male,Delhi,Dwarka,2024-04-07,IT,IT Support Specialist,High School,321495,Satisfactory,No,1982-05-09,2024-10-04
00-75579548,Advay,Contractor,Male,West Bengal,Durgapur,2015-09-22,IT,Software Developer,Bachelor,469136,Excellent,No,1995-01-19,2023-03-13
00-51273847,Amara,Oak,Female,Maharashtra,Nagpur,2017-02-13,Operations,Logistics Coordinator,Bachelor,285848,Good,No,1993-06-26,2018-12-02
00-20570592,Chaaya,Saran,Male,Karnataka,Mangalore,2016-03-02,HR,HR Assistant,High School,313013,Good,No,1994-01-06,2016-08-29
00-19289546,Sudiksha,Aggarwal,Male,Karnataka,Mangalore,2024-10-07,IT,Software Developer,Bachelor,468170,Satisfactory,No,2000-01-15,2025-04-05
00-26879290,Adya,Tella,Female,Karnataka,Mysuru,2016-10-22,Customer Service,Help Desk Technician,High School,364090,Good,No,1980-07-18,2019-06-05
00-32162965,Pranav,Tripathi,Male,Tamil Nadu,Madurai,2017-12-21,Operations,Logistics Coordinator,Bachelor,367155,Good,No,1964-11-19,2018-12-07
00-38427073,Hitesh,Misra,Male,Maharashtra,Mumbai,2024-11-22,Operations,Operations Analyst,Bachelor,413401,Good,No,1994-12-15,2025-05-21
00-36998038,Yashica,Issac,Female,Karnataka,Mangalore,2022-03-01,Sales,Sales Representative,Bachelor,375600,Good,Yes,1989-08-31,2022-08-28
00-97225156,Kashvi,Edwin,Female,Kerala,Kochi,2018-07-29,Customer Service,Customer Service Representative,High School,319346,Good,No,1987-09-12,2023-11-16
00-26240908,Aadi,Naik,Male,Karnataka,Mangalore,2017-07-09,Customer Service,Support Specialist,Bachelor,398837,Satisfactory,No,1995-08-06,2018-01-27
00-12823170,Anirudh,Choudhury,Female,Delhi,Dwarka,2020-12-26,Operations,Logistics Coordinator,Bachelor,285502,Good,No,1974-10-08,2024-12-14
00-39557077,Janani,Mohanty,Female,Maharashtra,Nagpur,2015-04-03,Customer Service,Customer Service Representative,Bachelor,348449,Good,No,1982-01-25,2023-12-18
00-17901903,Dalbir,Khosla,Male,Maharashtra,Mumbai,2017-12-07,Operations,Inventory Specialist,High School,319311,Needs Improvement,Yes,1963-11-19,2021-12-29
00-54349361,Farhan,Chada,Female,Maharashtra,Nagpur,2016-10-11,IT,IT Support Specialist,High School,354193,Good,No,1982-11-28,2017-10-15
00-99788677,Vedika,Biswas,Male,Karnataka,Mangalore,2019-10-23,IT,System Administrator,Master,564788,Good,No,1974-11-04,2020-04-20
00-86644106,Jeremiah,Dave,Male,Karnataka,Mangalore,2020-09-13,Operations,Logistics Coordinator,Bachelor,334628,Good,Yes,1973-03-13,2022-09-02
00-73481353,Vaishnavi,Gandhi,Female,Karnataka,Mangalore,2023-04-13,Marketing,Content Creator,Bachelor,306061,Satisfactory,No,1996-07-24,2023-10-10
00-23009833,Pallavi,Kakar,Male,Uttar Pradesh,Kanpur,2022-12-27,Customer Service,Help Desk Technician,High School,414129,Satisfactory,No,1984-09-09,2023-06-25
00-65177213,Sai,Muni,Male,Uttar Pradesh,Varanasi,2019-06-04,Marketing,Content Creator,Bachelor,394002,Good,No,1983-04-19,2022-12-12
00-97705310,Kashvi,Sarma,Female,Maharashtra,Pune,2024-12-15,Operations,Logistics Coordinator,Bachelor,395996,Satisfactory,Yes,1973-01-27,2025-06-13
00-64038913,Zansi,Seth,Male,Karnataka,Mysuru,2022-02-16,Customer Service,Support Specialist,High School,278680,Good,No,1983-12-29,2022-08-15
00-35714784,Yug,Kar,Male,Delhi,Rohini,2017-01-25,Sales,Sales Representative,Bachelor,388710,Satisfactory,No,1980-08-14,2017-07-24
00-66623995,Hamsini,Bail,Male,Tamil Nadu,Chennai,2017-08-17,Sales,Sales Consultant,Bachelor,630867,Good,Yes,1991-10-27,2021-05-16
00-20117988,Victor,Kannan,Female,West Bengal,Howrah,2019-01-03,IT,IT Support Specialist,Bachelor,308404,Good,No,1991-09-23,2019-07-02
00-16789850,Ekavir,Bhargava,Male,Maharashtra,Mumbai,2022-03-30,Customer Service,Customer Service Representative,High School,315230,Good,Yes,1962-01-01,2022-09-26
00-11980765,Ekansh,Balay,Female,Delhi,Dwarka,2024-11-29,Operations,Logistics Coordinator,Bachelor,289630,Good,No,1974-09-29,2025-05-28
00-64547971,Ganga,Bobal,Male,Punjab,Amritsar,2019-07-19,Customer Service,Help Desk Technician,Bachelor,362463,Good,Yes,1975-12-08,2021-03-05
00-63826716,Wazir,Mallick,Male,Kerala,Kochi,2023-09-17,IT,System Administrator,Bachelor,640368,Good,No,1966-07-23,2024-03-15
00-10289289,Vedika,Kala,Female,West Bengal,Howrah,2024-07-28,IT,Software Developer,Bachelor,532783,Good,No,1997-11-16,2025-01-24
00-71070189,Kevin,Solanki,Male,Karnataka,Mangalore,2017-04-05,Sales,Sales Specialist,PhD,407817,Good,Yes,1993-02-04,2023-08-27
00-84593961,Urvashi,Ray,Male,Tamil Nadu,Madurai,2022-03-15,IT,System Administrator,Master,400558,Good,No,1965-02-13,2022-09-11
00-35487660,Girindra,Chatterjee,Female,Maharashtra,Mumbai,2017-09-13,Operations,Operations Analyst,Master,348118,Excellent,No,1987-09-07,2018-05-06
00-82772208,Raagini,Pandya,Male,Delhi,Dwarka,2016-06-13,Customer Service,Support Specialist,Bachelor,413355,Good,No,1983-06-23,2016-12-10
00-16729990,Nirja,Sibal,Male,Maharashtra,Pune,2020-12-01,Sales,Sales Representative,Bachelor,450120,Needs Improvement,Yes,1979-03-19,2024-07-30
00-81286543,Chatura,Chaudhari,Male,Maharashtra,Pune,2017-01-24,Customer Service,Customer Service Representative,Bachelor,331888,Satisfactory,No,1977-12-29,2017-07-23
00-34941004,Neha,Nori,Female,Maharashtra,Nagpur,2016-11-06,Operations,Operations Analyst,Bachelor,360461,Good,Yes,1982-11-06,2017-05-05
00-41568532,Ikbal,Kothari,Male,Maharashtra,Pune,2019-03-16,Customer Service,Support Specialist,Bachelor,402075,Excellent,No,1986-07-12,2019-09-12
00-87701200,Ranveer,Yadav,Female,Maharashtra,Pune,2020-06-23,Customer Service,Help Desk Technician,Bachelor,429560,Satisfactory,No,1971-04-11,2020-12-20
00-66267415,Logan,Sami,Female,Maharashtra,Nagpur,2022-03-13,Sales,Sales Consultant,Bachelor,455080,Good,No,1971-03-08,2024-11-06
00-52462441,Arya,Shere,Female,Maharashtra,Pune,2024-04-07,IT,System Administrator,Bachelor,520187,Good,No,1990-12-07,2024-10-04
00-52169044,Faqid,Savant,Female,Maharashtra,Mumbai,2017-11-10,Operations,Inventory Specialist,High School,290187,Good,No,1986-03-09,2021-03-06
00-96637649,Guneet,Bedi,Male,Tamil Nadu,Chennai,2017-09-11,Operations,Inventory Specialist,Bachelor,292759,Good,No,2003-04-01,2024-02-06
00-19736572,Alexander,Chander,Male,Karnataka,Mysuru,2015-12-26,IT,System Administrator,Master,388010,Satisfactory,No,2001-09-29,2017-09-29
00-23419256,Warjas,Ganesan,Male,Maharashtra,Mumbai,2016-06-06,Customer Service,Help Desk Technician,Bachelor,446899,Good,No,1977-06-08,2016-12-03
00-45594597,Vedika,Srivastava,Male,Karnataka,Mangalore,2017-03-25,Finance,Accounts Payable Specialist,Bachelor,415818,Good,No,1964-06-27,2020-03-10
00-42787299,Nandini,Bhargava,Male,Karnataka,Mysuru,2018-03-05,Operations,Inventory Specialist,High School,368067,Good,Yes,1996-09-10,2020-03-12
00-82909480,Ladli,Agate,Female,Delhi,Dwarka,2022-06-01,Sales,Sales Specialist,PhD,503532,Satisfactory,Yes,1985-02-16,2022-11-28
00-97775215,Alka,Sha,Female,Maharashtra,Pune,2020-04-20,IT,IT Support Specialist,Bachelor,366474,Satisfactory,No,1986-05-26,2022-07-30
00-84437458,Pallavi,Sur,Female,Uttar Pradesh,Kanpur,2017-03-02,Marketing,SEO Specialist,Bachelor,324470,Needs Improvement,No,1994-04-29,2023-04-20
00-28024248,Ranveer,Minhas,Female,Maharashtra,Nagpur,2017-03-26,Operations,Logistics Coordinator,Bachelor,330320,Good,Yes,1999-03-01,2021-02-11
00-84252420,Dalbir,Bhat,Female,Delhi,New Delhi,2017-10-18,HR,Recruiter,High School,379295,Excellent,No,1996-11-06,2022-09-27
00-38270233,Dipta,Bhandari,Female,Maharashtra,Pune,2022-01-20,Customer Service,Support Specialist,High School,294872,Satisfactory,No,1983-05-03,2022-07-19
00-95125977,Vansha,Thakkar,Male,Punjab,Amritsar,2023-12-24,Sales,Sales Representative,Bachelor,423662,Excellent,No,1999-11-18,2024-06-21
00-43704923,Nakul,Bhandari,Male,Karnataka,Mangalore,2023-07-17,Sales,Sales Representative,Bachelor,367070,Satisfactory,No,1975-03-17,2024-01-13
00-95132217,Faris,Grewal,Female,West Bengal,Kolkata,2019-01-27,IT,IT Support Specialist,High School,323009,Good,No,1978-06-03,2024-09-03
00-10475894,Ekansh,Keer,Male,Delhi,New Delhi,2018-06-06,Customer Service,Help Desk Technician,High School,307625,Good,No,1989-09-19,2019-07-16
00-45159040,Jagdish,Koshy,Female,Maharashtra,Nagpur,2017-08-13,Customer Service,Support Specialist,High School,310739,Excellent,No,1995-05-12,2021-02-02
00-67403166,Balveer,Bumb,Male,Karnataka,Mangalore,2020-06-11,IT,Software Developer,Master,469689,Good,No,1999-09-06,2020-12-08
00-30005727,Diya,Lal,Male,Delhi,Rohini,2020-03-20,Customer Service,Customer Service Representative,High School,350218,Good,No,2004-09-12,2020-09-16
00-84158663,Dipta,Khare,Female,Kerala,Kochi,2017-04-14,Sales,Sales Consultant,Bachelor,535434,Excellent,No,1982-05-31,2017-11-18
00-51373735,Meghana,Deep,Female,Maharashtra,Pune,2018-09-18,IT,Software Developer,Master,569273,Good,No,1982-04-12,2021-04-25
00-38195995,Charita,Shankar,Female,Maharashtra,Pune,2022-05-03,Sales,Sales Consultant,Bachelor,466224,Excellent,No,1984-05-18,2022-10-30
00-57469942,Elijah,Andra,Female,West Bengal,Durgapur,2023-06-27,Customer Service,Customer Service Representative,High School,279390,Satisfactory,Yes,1990-09-19,2023-12-24
00-30743797,Harish,Borah,Female,Maharashtra,Mumbai,2024-07-27,Operations,Logistics Coordinator,Bachelor,351165,Satisfactory,No,1979-08-13,2025-01-23
00-31810617,Tanay,Toor,Male,Tamil Nadu,Coimbatore,2024-04-12,Sales,Sales Representative,Bachelor,332521,Good,No,1978-08-26,2024-10-09
00-13326769,Kevin,Palla,Male,Tamil Nadu,Coimbatore,2017-12-09,Operations,Logistics Coordinator,Bachelor,399038,Excellent,No,1974-03-25,2018-06-07
00-65259205,Ekapad,Konda,Female,Maharashtra,Pune,2023-05-24,Operations,Logistics Coordinator,Bachelor,342488,Satisfactory,Yes,1995-08-11,2023-11-20
00-43308443,Bhavani,Dugar,Male,Uttar Pradesh,Lucknow,2017-06-20,Finance,Accountant,Bachelor,360998,Excellent,No,1987-01-19,2024-12-19
00-61343880,Chasmum,Wadhwa,Female,Karnataka,Mysuru,2023-01-04,Customer Service,Help Desk Technician,High School,456328,Satisfactory,No,1965-10-01,2023-07-03
00-36786211,Chandani,Chawla,Female,Maharashtra,Mumbai,2023-12-08,Sales,Sales Specialist,Master,414843,Excellent,Yes,1997-12-31,2024-06-05
00-50962024,Krish,Lalla,Male,Delhi,Rohini,2023-02-14,HR,HR Coordinator,Bachelor,334419,Excellent,Yes,2001-10-23,2023-08-13
00-13176186,Hredhaan,Dugal,Male,Karnataka,Mysuru,2022-04-16,Finance,Financial Analyst,Master,467811,Satisfactory,No,2003-09-14,2022-10-13
00-47393469,Baghyawati,Kade,Male,Maharashtra,Pune,2023-10-06,Finance,Accounts Payable Specialist,Bachelor,414221,Good,No,1980-07-26,2024-04-03
00-96098221,Hemal,Jani,Male,Kerala,Thiruvananthapuram,2020-09-23,Operations,Inventory Specialist,Bachelor,301582,Satisfactory,No,1996-08-16,2021-03-22
00-81969657,Aishani,Tiwari,Female,West Bengal,Kolkata,2018-07-09,IT,IT Support Specialist,Bachelor,290318,Good,No,1999-10-20,2022-04-07
00-45059710,Zayan,Behl,Female,Kerala,Thiruvananthapuram,2017-02-05,Sales,Sales Consultant,Master,481254,Good,No,1962-12-24,2019-06-12
00-24549543,Pallavi,Malhotra,Male,Uttar Pradesh,Varanasi,2020-01-18,Sales,Sales Specialist,Bachelor,464365,Good,Yes,1975-04-04,2020-07-16
00-52101056,Aarush,Nath,Male,Maharashtra,Mumbai,2019-10-27,Customer Service,Customer Service Representative,Bachelor,323236,Good,No,1984-10-30,2020-04-24
00-61700055,Kalpit,Lala,Male,Tamil Nadu,Madurai,2023-03-04,IT,Software Developer,Bachelor,641303,Needs Improvement,No,1995-09-11,2023-10-30
00-15957459,Riya,Sane,Female,Delhi,Dwarka,2022-08-06,Sales,Sales Consultant,Bachelor,468422,Good,No,1978-08-13,2023-02-02
00-82269803,Aditya,Choudhury,Male,West Bengal,Howrah,2022-01-30,Customer Service,Customer Service Representative,High School,328347,Good,No,1990-08-15,2022-07-29
00-36445607,Manthan,Banik,Male,Uttar Pradesh,Lucknow,2018-11-21,Operations,Operations Analyst,Master,404764,Satisfactory,No,1986-01-26,2021-08-25
00-54318698,Kala,Divan,Male,Tamil Nadu,Coimbatore,2021-06-16,Operations,Logistics Coordinator,Bachelor,338182,Good,No,1999-01-29,2021-12-13
00-26726926,Joshua,Barman,Female,Uttar Pradesh,Varanasi,2022-04-30,Sales,Sales Specialist,Master,442330,Satisfactory,No,1989-08-27,2022-10-27
00-51511484,Janya,Baral,Male,Tamil Nadu,Madurai,2022-12-16,Sales,Sales Consultant,Bachelor,565113,Good,No,1987-03-21,2023-06-14
00-49682169,Ishita,Kade,Male,Tamil Nadu,Coimbatore,2020-09-21,Customer Service,Support Specialist,Bachelor,366355,Good,Yes,1988-10-18,2021-03-20
00-99245317,Zaid,Chauhan,Male,Punjab,Ludhiana,2024-05-17,IT,Software Developer,Master,557369,Needs Improvement,No,1977-08-24,2024-11-13
00-33357554,Niharika,Dubey,Female,Uttar Pradesh,Lucknow,2021-12-26,Sales,Sales Representative,Bachelor,347329,Good,No,1982-05-18,2022-06-24
00-83542887,Warjas,Gaba,Male,Karnataka,Bengaluru,2023-11-07,Marketing,Marketing Coordinator,Bachelor,358565,Good,No,1989-06-15,2024-05-05
00-38210242,Peter,Sachar,Male,Delhi,Rohini,2019-01-10,Sales,Sales Representative,Bachelor,446209,Good,No,1972-07-17,2019-07-09
00-97873101,Praneel,Natarajan,Male,Uttar Pradesh,Lucknow,2018-10-31,Customer Service,Support Specialist,High School,378112,Good,No,1963-10-09,2022-02-04
00-38682516,Nisha,Kothari,Male,Delhi,Rohini,2020-04-13,Customer Service,Support Specialist,Bachelor,298030,Good,No,2001-09-24,2020-10-10
00-98429450,Nathaniel,Chokshi,Male,Maharashtra,Mumbai,2016-05-28,IT,Software Developer,Master,579430,Satisfactory,No,1994-07-25,2021-10-20
00-94951883,Balvan,Singhal,Male,Tamil Nadu,Chennai,2021-03-28,Marketing,Marketing Coordinator,Bachelor,338447,Good,No,1980-04-12,2022-04-27
00-41523529,Ryan,Sharma,Female,Maharashtra,Pune,2022-05-16,Operations,Logistics Coordinator,Bachelor,282452,Satisfactory,No,1979-04-12,2022-11-12
00-36726767,Dalaja,Kari,Female,Punjab,Ludhiana,2017-03-28,Operations,Operations Analyst,Master,363924,Good,No,1978-04-30,2024-04-01
00-73771720,Arjun,Hans,Male,Tamil Nadu,Madurai,2021-06-04,Operations,Logistics Coordinator,Bachelor,408554,Good,No,1973-09-07,2021-12-01
00-65625330,Falguni,Mallick,Male,Uttar Pradesh,Lucknow,2023-12-02,IT,Software Developer,Bachelor,635503,Needs Improvement,No,1975-10-30,2024-05-30
00-61536717,Ekaraj,Mallick,Female,Tamil Nadu,Chennai,2020-05-16,Operations,Inventory Specialist,Bachelor,368090,Good,Yes,1971-09-30,2020-11-12
00-98054615,Yashodhara,Ratta,Female,Maharashtra,Mumbai,2022-09-21,Operations,Inventory Specialist,High School,265727,Needs Improvement,No,2002-08-19,2023-03-20
00-67062156,Garima,Bala,Male,Maharashtra,Pune,2017-02-14,Customer Service,Help Desk Technician,Bachelor,303295,Good,No,1993-10-29,2021-11-22
00-72350830,Advika,Gokhale,Male,Tamil Nadu,Chennai,2016-08-13,Marketing,Content Creator,High School,358902,Satisfactory,No,1988-02-09,2018-07-25
00-26288475,Alka,Barad,Female,Maharashtra,Nagpur,2019-02-12,Operations,Logistics Coordinator,Bachelor,370696,Good,No,1978-02-18,2024-08-20
00-81287314,Radha,Pai,Male,Delhi,New Delhi,2024-10-09,Customer Service,Customer Service Representative,Bachelor,347808,Satisfactory,No,1974-09-18,2025-04-07
00-69401199,Dipta,Sarin,Female,West Bengal,Howrah,2021-08-24,Finance,Accountant,Bachelor,375115,Good,No,2001-02-17,2022-02-20
00-67276174,Yasti,D’Alia,Female,Delhi,Dwarka,2023-05-30,Operations,Operations Analyst,Bachelor,395013,Good,No,1996-11-02,2023-11-26
00-31361812,Ranveer,Kumar,Female,Karnataka,Mysuru,2022-01-18,Operations,Operations Analyst,Bachelor,402882,Satisfactory,No,1984-03-07,2022-07-17
00-44788100,Rajata,Agarwal,Female,Karnataka,Mangalore,2022-07-21,Sales,Sales Consultant,Bachelor,609689,Satisfactory,Yes,1992-05-31,2023-01-17
00-79967676,Ronith,Patla,Female,Maharashtra,Mumbai,2019-06-17,Sales,Sales Representative,Bachelor,352221,Satisfactory,Yes,2004-08-01,2020-08-24
00-69038700,Ekaraj,Narayanan,Female,Maharashtra,Nagpur,2016-08-30,IT,IT Support Specialist,High School,341237,Needs Improvement,Yes,2000-12-31,2017-10-26
00-46468984,Dipta,Dash,Male,Delhi,Dwarka,2018-10-07,Customer Service,Support Specialist,High School,359655,Good,No,1982-05-02,2024-05-13
00-28572252,Charita,Tripathi,Male,Maharashtra,Pune,2017-05-01,Sales,Sales Specialist,PhD,367033,Excellent,No,1971-08-26,2022-11-06
00-30509175,Nilima,Narain,Female,Maharashtra,Pune,2022-06-06,Customer Service,Support Specialist,Bachelor,332846,Satisfactory,No,1983-05-07,2022-12-03
00-64707061,Chakrika,Datta,Female,Maharashtra,Pune,2018-03-16,Customer Service,Support Specialist,Bachelor,313612,Needs Improvement,No,1988-09-18,2018-10-18
00-18357162,Osha,Raghavan,Female,Tamil Nadu,Madurai,2017-09-21,Sales,Sales Specialist,Bachelor,414909,Satisfactory,No,1993-09-05,2018-03-20
00-88393811,Owen,Mitra,Male,Maharashtra,Nagpur,2024-06-06,Operations,Operations Analyst,Master,369657,Excellent,No,1994-08-25,2024-12-03
00-87267850,Aadi,Modi,Male,West Bengal,Kolkata,2018-04-22,Marketing,SEO Specialist,Bachelor,380678,Good,No,1991-07-18,2018-10-19
00-50079111,Shivansh,Sani,Male,Karnataka,Bengaluru,2022-11-02,Operations,Operations Analyst,Master,378111,Good,Yes,1991-08-14,2024-06-09
00-83300637,Ekanta,Shroff,Female,Delhi,Rohini,2023-06-21,Operations,Operations Analyst,Bachelor,301558,Good,No,1979-05-21,2023-12-18
00-39450273,Riya,Kala,Male,West Bengal,Kolkata,2017-07-18,Customer Service,Customer Service Representative,High School,297323,Good,No,1994-06-08,2018-01-14
00-62191530,Urvashi,Gara,Female,Punjab,Ludhiana,2018-09-13,Customer Service,Support Specialist,High School,338416,Good,Yes,1991-06-17,2019-03-12
00-64266464,Frado,Mander,Female,Karnataka,Bengaluru,2022-07-20,IT,Software Developer,Bachelor,545021,Satisfactory,Yes,1977-03-22,2023-01-16
00-93517915,Gautami,Chander,Male,West Bengal,Kolkata,2020-11-13,Operations,Operations Analyst,Master,377638,Good,Yes,1971-07-18,2021-05-12
00-85751409,Wahab,Mukherjee,Female,Karnataka,Bengaluru,2022-03-29,Operations,Inventory Specialist,Bachelor,369400,Good,No,1986-03-10,2022-09-25
00-67527432,Rushil,Din,Male,Maharashtra,Pune,2017-01-10,Marketing,Marketing Coordinator,Bachelor,317264,Needs Improvement,No,1992-08-05,2021-12-17
00-16749089,Chakradhar,Konda,Male,Maharashtra,Mumbai,2017-07-04,Customer Service,Help Desk Technician,High School,408875,Excellent,No,1992-07-19,2021-09-24
00-71028710,Elijah,Shah,Male,Maharashtra,Nagpur,2018-06-10,Operations,Inventory Specialist,Bachelor,320820,Good,Yes,2003-05-06,2021-05-23
00-66581473,Robert,Rajagopalan,Male,Kerala,Kozhikode,2017-07-11,Sales,Sales Consultant,Master,533195,Good,No,2004-02-02,2024-05-07
00-12601580,Mugdha,Kohli,Female,Uttar Pradesh,Varanasi,2022-02-27,IT,System Administrator,Bachelor,426499,Excellent,Yes,1993-10-25,2022-08-26
00-40094589,Abdul,Chhabra,Female,Maharashtra,Mumbai,2022-10-30,Finance,Accountant,Bachelor,417871,Good,No,1985-11-24,2023-04-28
